Nummer;aktiv;versteckt;Kategorie;Frage;Loesung;Punkte;Bild;Antwort1;Antwort2;Antwort3;Antwort4;Antwort5;Antwort6;Antwort7;Antwort8;Antwort9;Anmerkung;Anmerkung2
1;1;0;Ausbildung;Welche Qualifikation muss ein Staplerfahrer nachweisen?;2;10;001.png;Führerschein Pkw;Staplerschein;Führerschein Lkw;;;;;;;;
2;1;0;Ausbildung;Darf ein Stapler auch auf dem Parkplatz benutzt werden?;3;10;002.png;Auf keinen Fall;Nur in Ausnahmesituationen;Nur mit Straßenzulassung;;;;;;;;
3;1;0;Machanik;Welches Bauteil stellt bei Elektrostaplern einen Teil des Gegengewichtes?;2;10;;Hinterachse;Antriebsbatterie;Motor;;;;;;;;
4;1;0;Machanik;Wie nennt man ein Hubgerüst, das aus einem Innenmast, Mittelmast und Außenmast besteht?;3;10;;Einfach-Hubgerüst;Zweifach-Hubgerüst;Dreifach-Hubgerüst;;;;;;;;
5;1;0;Physik;Wie groß ist der genormte Lastschwerpunktabstand bei Gabelstaplern mit einer Tragfähigkeit von weniger als 5.000 kg?;2;10;;600 mm;500 mm;700 mm;;;;;;;;
6;1;0;Sicherheit;Wann muss der Stapler gegen unbefugte Nutzung gesichert werden?;1;10;006.png;Jedes Mal, wenn der Stapler verlassen wird;Nur in Pausen, die länger als 10 Minuten dauern;Nur in Betrieben mit  mehreren Geräten, um Verwechselungen zu verhindern;;;;;;;;
7;1;0;Machanik;Welches Bauteil macht das Vor- oder Zurückneigen des Hubgerüstes möglich?;1;10;;Neigezylinder;Hubzylinder;Lenkzylinder;;;;;;;;
8;1;0;Sicherheit;Wann muss der Sicherheitscheck durchgeführt werden?;2;10;008.png;Vor jeder Fahrt;Vor Arbeitsbeginn;Die Termine werden betriebsintern festgelegt;;;;;;;;
9;1;0;Sicherheit;Was ist zu tun, wenn die Last die Sicht nach vorne einschränkt?;3;10;009.png;Langsam fahren, bremsbereit bleiben;Last anheben, bis die Sicht auf die Fahrbahn frei ist;Rückwärts fahren, um freie Sicht auf d. Fahrbahn zu haben;;;;;;;;
10;1;0;Sicherheit;Wann muss das Fahrtempo reduziert werden?;1;10;010.png;Auf nassen oder rutschigen Böden;Bei niedrigem Batteriestand;Bei Fahrten ohne Last;;;;;;;;
11;1;0;Machanik;Welcher Motor arbeitet nach dem Prinzip der Selbstzündung?;2;10;;Erdgasmotor;Dieselmotor;Benzinmotor;;;;;;;;
12;1;0;Sicherheit;Was ist bei Fahrten auf einer Rampe zu beachten?;3;10;012.png;Tempo erhöhen, um die Steigung schnell zu überwinden;Rampen dürfen nur ohne Last befahren werden;Last bergseitig führen, vorsichtig beschleunigen, Lenkrad gerade ausrichten;;;;;;;;
13;1;0;Ausbildung;Wodurch wird das Heben der Last am Gabelstapler ermöglicht?;2;10;;Durch Elektronik;Durch Hydraulik;Durch Pneumatik;;;;;;;;
14;1;0;Sicherheit;Was muss zum Schutz des Fahrers an einem Stapler vorhanden sein?;2;10;;Eine ausreichende Beleuchtung / Rundumleuchte;Ein Schutzdach;Ein Sicherheitsgurt;;;;;;;;
15;1;0;Physik;Wie muss ein Gefälle mit Last befahren werden?;3;10;;Vorwärts;Mit hoher Geschwindigkeit;Rückwärts;;;;;;;;
16;1;0;Sicherheit;Was muss der Gabelstaplerfahrer sicherstellen?;1;10;;Dass kein Unbefugter den Stapler benutzt;Dass der Stapler nicht länger als 4 Stunden im Einsatz ist;Dass der Stapler nicht mehr als 2.000 Betriebsstunden lauft;;;;;;;;
17;1;0;Physik;Wie muss eine Steigung mit Last befahren werden?;1;10;017.png;Vorwärts;Im Schritttempo;Rückwärts;;;;;;;;
18;1;0;Physik;Was gilt beim Einsatz von Anbaugeräten?;2;10;018.png;Sie können das Fahrverhalten verändern;Sie können den Schwerpunkt und die Tragfähigkeit verändern;Sie können das Transportgut gefährden;;;;;;;;
19;1;0;Sicherheit;Was ist beim Abstellen des Staplers zu beachten?;1;10;019.png;Feststellbremse ziehen, bei abschüssigem Gelände zusätzlich mit Vorlegeklötzen sichern;Vorgesetzten informieren und Batterie aufladen;Der Stapler darf nur ohne Ladung abgestellt werden;;;;;;;;
20;1;0;Machanik;Wie soll das Hubgerüst beim Transport einer Last über eine längere Strecke stehen?;1;10;;Nach hinten zum Fahrer geneigt;Nach vorn geneigt;Es soll möglichst gerade stehen;;;;;;;;
